LOCATION,ADDRESS,CITY,ZIP,X,Y
I 39 AND HWY 6  UNION MILLS  LAPORTE COUNTY,I 39 AND HWY 6,UNION MILLS,,,
CR 600 S AND WALNUT CREEK AND MAD RUN CREEK  SALAMONIA/JAY COUNTY,CR 600 S AND WALNUT CREEK AND MAD RUN CREEK,SALAMONIA,,,
"700 E INDUSTRIAL DR  TERRE HAUTE, IN  VIGO COUNTY",700 E INDUSTRIAL DR,TERRE HAUTE,,,
VIGO CO  TERRE HAUTE  I 70 11 MM WB,,TERRE HAUTE,,,
IVY TECH COMMUNITY COLLEGE FORT WAYNE  CHILLER PLANT  FORT WAYNE  ALLEN COUNTY,,FORT WAYNE,,,
"202 S FISHER ST  SAN PIERRE, IN  46374  STARKE CO",202 S FISHER ST,SAN PIERRE,46374,,
"US 31 SB EXIT 165  KOKOMO, IN  HOWARD COUNTY",,KOKOMO,,,
"CLARK-FLOYD LANDFILL  BORDEN, CLARK COUNTY",,BORDEN,,,
PROPERTY EAST OF 2255 W US 20  LAGRANGE IN 46761,2255 W US,LAGRANGE,46761,,
RAILROAD TRACKS IN BACK OF 1107 S B ST - DUMPING TOOK PLACE MULTIPLE TIMES 1 1/2 FEET BY 5-6 FEET  ELWOOD IN,,ELWOOD,,,
ELKHART CO  GOSHEN   MP CD 410   NORTH OF MONROE ST,MP CD 410,GOSHEN,,,
ELKHART CO  GOSHEN  MILEPOST CD410,,GOSHEN,,,
"3860 FITZGERALD RD  LOUISVILLE, KY  JEFFERSON COUNTY",3860 FITZGERALD RD,LOUISVILLE,,,
"25915 SOUTHEAST FRONTAGE ROAD  CHANNAHON, IL  WILL COUNTY",25915 SOUTHEAST FRONTAGE ROAD,CHANNAHON,,,
"ALFONTE ST  ONGALLS, IN   MADISON COUNTY",,ONGALLS,,,
1160 SHORELINE DR - DOCK #353  MORSE RESERVOIR,1160 SHORELINE DR,,,,
MICHIGAN  BERRIEN COUNTY,,MICHIGAN,,,
"1559 LAKESHORE DRIVE/DOCK C  CHICAGO, IL  60605  COOK COUNTY",1559 LAKESHORE DRIVE,CHICAGO,60605,,
"E CR 550 S AND INDIANA 61   WINSLOW, IN  PIKE COUNTY",E CR 550 S AND INDIANA 61,WINSLOW,,,
